geoid,keys,address,city,country,lat,long,name,postalCode,province,websites,address_full
36089,us/ny/massena/324mainst/-1161002137,324 Main St,Massena,US,44.9213,-74.89021,McDonald's,13662,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral","McDonald's, 324, South Main Street, Massena Springs, Village of Massena, Town of Massena, Saint Lawrence County, New York, 13662, United States"
39047,us/oh/washingtoncourthouse/530clintonave/-791445730,530 Clinton Ave,Washington Court House,US,39.53255,-83.44526,Wendy's,43160,OH,http://www.wendys.com,"Tim Hortons, Clinton Avenue, Washington Court House Commercial Historic District, Washington Court House, Fayette County, Ohio, 43160, United States"
21161,us/ky/maysville/408marketsquaredr/1051460804,408 Market Square Dr,Maysville,US,38.62736,-83.79141,Frisch's Big Boy,41056,KY,"http://www.frischs.com,https://www.frischs.com/location/maysville-ky/","Frisch's Big Boy, Tumbleweed Drive, Maysville, Mason County, Kentucky, 41056, United States"
36089,us/ny/massena/6098statehighway37/-1161002137,6098 State Highway 37,Massena,US,44.95008,-74.84553,McDonald's,13662,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral","McDonald's, 6098, NY-37, Town of Massena, Saint Lawrence County, New York, 13662, United States"
39009,us/oh/athens/139columbusrd/990890980,139 Columbus Rd,Athens,US,39.35155,-82.09728,OMG! Rotisserie,45701,OH,"http://www.omgrotisserie.com,http://omgrotisserie.com","Mum Mum HIbachi, Columbus Road, Athens, Athens County, Ohio, 45701, United States"
39017,us/oh/hamilton/4182tonyatrl/-1055723171,4182 Tonya Trl,Hamilton,US,39.4176,-84.47641,Domino's Pizza,45011,OH,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps","Tonya Trail, Fairfield Township, Butler County, Ohio, 45011, United States"
39113,us/oh/englewood/590smainst/-1055723171,590 S Main St,Englewood,US,39.86969,-84.29358,Domino's Pizza,45322,OH,"https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps","Wendy's, South Main Street, Morgan Place, Englewood, Montgomery County, Ohio, 45322, United States"
45081,us/sc/saluda/401njenningsst/-1161002137,401 N Jennings St,Saluda,US,34.00598,-81.7704,McDonald's,29138,SC,http://www.mcdonalds.com,"McDonald's, North Jennings Street, Saluda, Saluda County, South Carolina, 29138, United States"
45063,us/sc/batesburg/205wchurchst/-791445730,205 W Church St,Batesburg,US,33.91335,-81.5333,Wendy's,29006,SC,http://www.wendys.com,"Wendy's, 205, West Church Street, Batesburg, Batesburg-Leesville, Lexington County, South Carolina, 29070, United States"
05055,us/ar/paragould/2711wkingshighwayste18/-66712705,2711 W. Kings Highway Ste. 18,Paragould,US,36.06107,-90.52325,Pizza Hut,72450,AR,http://www.pizzahut.com,"Wallace Drive, Paragould, Greene County, Arkansas, 72451, United States"
